# iteración mejor promedio
165 0.46190158609522886 0.5517507674740917
166 0.4618883290622351 1.1028211641855987
167 0.4618883290622351 0.9233912993595303
168 0.46188385718586566 1.435260237730774
169 0.46188259020509026 1.0533581697080945
170 0.46188259020509026 1.3131317727019747
171 0.46188259020509026 0.6588279336587096
172 0.46188259020509026 0.6541728206288181
173 0.46188259020509026 1.2920266903338609
174 0.46188259020509026 0.7615450233444249
175 0.46188259020509026 0.4773647467924662
176 0.46188259020509026 0.7084597125802056
177 0.46188259020509026 0.5091351646187803
178 0.46188259020509026 0.514151167835763
179 0.46188259020509026 0.9096106123222728
180 0.46188259020509026 1.6018004502515846
181 0.46188259020509026 0.6644731038704633
182 0.46188259020509026 1.3569654608003139
183 0.46188259020509026 2.294421701867308
184 0.46188259020509026 1.5557751113231424
185 0.46188259020509026 0.7977215866069756
186 0.46188259020509026 0.7098376608601578
187 0.46188259020509026 1.0154117284348525
188 0.13361919213553725 0.9711561711394451
189 0.13302617427463934 1.6218545133730504
190 0.13250635383729362 2.0613731831411415
191 0.13112181986715996 0.6768356980223021
192 0.13107459579984201 0.3353655088480563
193 0.13105728465963323 0.23909898940817645
194 0.13105728465963323 1.1330687001123736
195 0.13105728465963323 0.5367131645516642
196 0.13100150843035827 0.2730175922251032
197 0.13100150843035827 0.13496279672266503
198 0.13100150843035827 1.5351334237466419
199 0.13100150843035827 0.39036631669176586
200 0.13100150843035827 0.2023410513766537
201 0.13100150843035827 0.5991366402327148
202 0.13100150843035827 0.4746030907333656
203 0.13100150843035827 1.2910830694610071
204 0.13100150843035827 0.13370329111267332
205 0.1309176304930996 0.6909226339745171
206 0.13059364820713176 0.8928927381100087
207 0.13059364820713176 1.4854396971586445
208 0.13059364820713176 0.13449487402098564
209 0.1303358428321254 0.7055600980508394
210 0.13032360539667132 0.13322894488909434
211 0.13031390076643717 0.950384769123986
212 0.13030982441475822 0.13297236760424466
213 0.13030978130865856 0.376230040968178
214 0.13030978130865856 0.14544186084131888
215 0.13030978130865856 1.1871421227571874
216 0.13030978130865856 0.3503667141607631
217 0.1303082279631913 0.13248296716693708
218 0.1303082279631913 0.259299941267865
219 0.1303082279631913 0.809172885571975
220 0.1303017219939025 0.4770788749118175
221 0.1303017219939025 0.5165700371668224
222 0.1303017219939025 1.044009325597739
223 0.1303017219939025 0.39367414485751323
224 0.1303017219939025 0.36937067106640453
225 0.1303017219939025 0.28317036135409
226 0.1303017219939025 0.4398567820669911
227 0.1301263560331297 0.13208509370318786
228 0.1301263560331297 0.5938771943641893
229 0.1301263560331297 0.13205284733740416
230 0.1301263560331297 0.7412465612301103
231 0.1301263560331297 0.2060519845300125
232 0.1301263560331297 0.3918666588200868
233 0.13011767345614797 0.198065664254494
234 0.13011767345614797 0.32985339993154317
235 0.13011767345614797 0.2400389964554751
236 0.13011621135351445 0.4239603676497662
237 0.13011621135351445 0.13214558600929754
238 0.13011621135351445 1.652642534002642
239 0.13011621135351445 0.13216457598408957
240 0.13011621135351445 1.3443203502415133
241 0.13011621135351445 0.1321553616574268
242 0.13011621135351445 1.1198969154047522
243 0.13011533816889398 0.13202869166036885
244 0.13011533816889398 0.3958530506469624
245 0.13011533816889398 0.23485178651488212
246 0.13011533816889398 0.13186584312901609
247 0.13011533816889398 0.8468930419036462
248 0.13011533816889398 0.5226519039727884
249 0.13011533816889398 0.13180079307259432
250 0.13011533816889398 0.28270438325016495
251 0.13011479320336697 0.8017514706211092
252 0.13011479320336697 0.13181350492000068
253 0.13011479320336697 0.7209291014689879
254 0.13011479320336697 1.1933232697283045
255 0.13011479320336697 0.13185768282618146
256 0.13011479320336697 0.2951978255756689
257 0.13011479320336697 1.1612226287466847
258 0.1301082441279785 0.3013213756080102
259 0.1301082441279785 0.13161578707159585
260 0.1301082441279785 0.13159712636851587
261 0.1301082441279785 1.5964358652464987
262 0.1301082441279785 0.42624637268200954
263 0.1301082441279785 0.3451998965090421
264 0.13010796473703332 0.13157966247440422
265 0.13010796473703332 1.1936167165993814
266 0.13010796473703332 0.3390232601240131
267 0.13010796473703332 0.46049455257928207
268 0.13010796473703332 0.13138441500039066
269 0.13010796473703332 0.13140907830229412
270 0.13010796473703332 0.13139629520948154
271 0.13010796473703332 0.8465344107224035
272 0.13010796473703332 1.2260556120320394
273 0.13010796473703332 0.13127706348975798
274 0.13008876770496458 1.6543257794372834
275 0.1300887176131972 0.13127053332872046
276 0.1300887176131972 0.33677436238536723
277 0.13008092855795025 0.2338113326654695
278 0.13008092855795025 0.13121396212718323
279 0.13008092855795025 0.13117462496309712
280 0.13008092855795025 0.7347163409137145
281 0.13008092855795025 0.7016920665599028
282 0.13008045919499064 0.4608266315913561
283 0.13008045919499064 0.36364975059006566
284 0.13008045919499064 0.19780437968253153
285 0.13008045919499064 0.9040720608117955
286 0.13008045919499064 1.5909132396372805
287 0.13008045919499064 0.1309763366447429
